	SRR2672238	SRR2672239	SRR2672242	SRR2672244	SRR2672255	SRR2672260	SRR2672261	SRR2672262	SRR2672263	SRR2672243	SRR2672257	SRR2672259	SRR2672235	SRR2672237	SRR2672240	SRR2672264	SRR2672236	SRR2672241	SRR2672258	SRR2672256
g__Gemella	15.0437019541769	371.367923975122	207.912110428449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260.630079935514	0
g__Geobacillus	466.354760579483	414.368420435399	0	0	0	3.6913717875837	18.8719837851915	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Gluconacetobacter	0	0	0	0	0	36.913717875837	0	2.82823826210415	0	0	0	13.1704586612229	12.278978388998	7.74551341135647	2.91623409194302	0	0	0	0	14.539765531741
g__Gordonia	0	31.2730883347471	0	0	0	0	0	0	29.8003832787758	0	0	0	0	0	0	0	0	0	0	0
g__Granulicatella	0	789.645480452364	0	0	10.0179521702892	40.6050896634207	0	16.9694295726249	0	0	2.18243402501942	63.6572168625772	0	0	0	0	724.92222188661	539.554677407097	0	0
g__Haemophilus	1053.05913679238	813.100296703426	397.7449069066	669.011586064285	16.0287234724627	13034.2337819581	181.171044337838	0	3798.40269945625	574.905237446288	0	621.206633521012	98.2318271119842	0	39503.3070094603	11.3150331530471	1307.44900733121	2143.01998632115	564.250688520185	15750.9280005351
g__Herbaspirillum	0	0	0	13.5153855770563	0	40.6050896634207	0	0	0	0	0	50.4867582013543	21.4882121807466	0	0	0	0	0	0	0
g__Herbiconiux	0	230.63902646876	0	0	0	0	0	0	0	5.95756722742268	0	0	0	0	0	0	0	0	0	0
g__Holdemania	3700.75068072751	0	0	0	36.064627813041	0	128.329489739303	186.663725298874	0	0	0	0	52.1856581532416	56.1549722323344	142.895470505208	0	0	0	0	0
g__Hymenobacter	0	922.55610587504	0	0	0	18.4568589379185	0	0	0	0	0	4.39015288707428	0	25.1729185869086	2.91623409194302	0	0	0	2.68690804057231	0
g__Hyphomicrobium	0	324.458291473002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60.7948932289687	0	0
g__Janthinobacterium	30.0874039083538	0	0	0	0	0	0	0	41.2620691552279	4.46817542056701	0	0	0	0	0	0	0	0	0	0
g__Kaistobacter	0	562.915590025449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.68690804057231	7.26988276587052
g__Kingella	0	770.099800243149	0	3.37884639426407	0	0	0	0	0	0	0	21.9507644353715	0	0	61.2409159308035	0	0	0	0	0
g__Klebsiella	0	2157.84309509755	0	187.525974881656	0	3.6913717875837	0	0	0	0	0	0	0	0	0	45.2601326121886	0	0	0	0
g__Knoellia	165.480721495945	0	0	0	0	0	0	0	0	1.48939180685567	0	0	0	0	0	0	0	0	0	0
g__Lachnobacterium	0	0	0	0	42.0753991152144	0	0	0	57.308429382261	0	0	0	21.4882121807466	0	157.476640964924	0	0	0	0	0
g__Lachnospira	2121.16197553894	0	0	0	176.315958197089	0	630.324258425397	0	16.0463602270331	46.1711460125257	0	19.7556879918342	15.3487229862475	0	17.4974045516581	0	6364.64450763543	6292.27144919825	0	0
g__Lactobacillus	4513.11058625306	2103.11519051174	135.59485462725	106.433661419318	8.01436173623132	0	335.92131137641	0	0	2.97878361371133	78.5676249006992	118.534127951006	15.3487229862475	7.74551341135647	0	0	198.490608373715	87.3926590166425	24.1821723651509	4.36192965952231
g__Lactococcus	0	7.81827208368677	0	3.37884639426407	6.01077130217349	0	7.54879351407661	0	0	0	93.8446630758353	0	0	0	0	0	0	83.5929781898319	0	0
g__Lautropia	0	1196.19562880408	0	0	0	0	41.5183643274213	0	48.1390806810993	0	0	0	0	0	0	0	0	0	40.3036206085846	1.4539765531741
g__Leptotrichia	0	2783.3048617925	0	11.8259623799242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.06072412171693	7.26988276587052
g__Leuconostoc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.0402116082488	345.77095523976	0	0
g__Methylobacterium	0	2818.48708616908	6.02643798343332	0	0	3.6913717875837	0	0	0	29.7878361371134	1073.75754030956	6.58522933061143	0	0	0	0	1039.91818734925	1732.65445702561	166.588298515483	0
g__Methylotenera	0	273.639522929038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.63002645103109	0	0	0
g__Microbacterium	0	1938.93147675432	15.0660949585833	0	0	44.2964614510046	0	0	57.308429382261	0	6.54730207505827	6.58522933061143	6.13948919449901	3.87275670567824	0	0	0	0	5.37381608114462	0
g__Micrococcus	23332.7817309284	5566.60972358499	482.115038674666	76.0240438709416	46.0825799833301	47.9878332385883	33.9695708133448	33.9388591452498	364.48161087118	0	250.979912877234	39.5113759836686	15.3487229862475	7.74551341135647	2.91623409194302	22.6300663060943	1234.09378249745	1094.30807812144	271.377712097804	2.90795310634821
g__Microlunatus	0	0	0	0	0	0	0	0	2.29233717529044	0	0	0	0	0	0	0	0	0	26.8690804057231	0
